purchase_id,customer_id,purchase_date,category,amount
3001,1001,2024-09-03,Snacks,41.12
3002,1001,2024-09-03,Food & Beverage,128.93
3003,1001,2024-09-03,Food & Beverage,128.11
3004,1002,2024-10-03,Merchandise,63.2
3005,1002,2024-10-18,Food & Beverage,175.79
3006,1002,2024-10-18,Snacks,18.93
3007,1002,2024-10-18,Food & Beverage,164.39
3008,1002,2024-10-18,Food & Beverage,155.4
3009,1002,2024-07-17,Food & Beverage,55.97
3010,1003,2024-08-07,Games,50.99
3011,1003,2024-08-07,Snacks,35.34
3012,1003,2024-05-09,Food & Beverage,87.88
3013,1003,2024-05-09,Food & Beverage,86.55
3014,1004,2024-09-10,Snacks,48.55
3015,1004,2024-09-10,Food & Beverage,160.6
3016,1004,2024-09-10,Photography,188.41
3017,1004,2024-09-10,Food & Beverage,151.89
3018,1005,2024-09-24,Food & Beverage,127.3
3019,1005,2024-09-24,Snacks,46.89
3020,1005,2024-09-24,Snacks,27.77
3021,1007,2024-10-01,Food & Beverage,131.68
3022,1008,2024-12-21,Snacks,19.96
3023,1008,2024-12-21,Snacks,29.76
3024,1008,2024-12-21,Food & Beverage,176.98
3025,1008,2024-12-21,Food & Beverage,164.55
3026,1008,2024-11-15,Food & Beverage,75.52
3027,1008,2024-11-15,Food & Beverage,158.49
3028,1008,2024-11-15,Games,35.82
3029,1008,2024-11-15,Food & Beverage,91.79
3030,1010,2024-05-29,Games,32.62
3031,1010,2024-05-29,Food & Beverage,172.96
3032,1010,2024-05-29,Snacks,45.09
3033,1010,2024-05-29,Snacks,45.88
3034,1010,2024-10-14,Snacks,16.3
3035,1010,2024-10-14,Games,51.67
3036,1011,2024-12-08,Food & Beverage,61.08
3037,1011,2024-12-08,Snacks,46.48
3038,1011,2024-12-08,Merchandise,44.37
3039,1011,2024-12-08,Food & Beverage,73.7
3040,1012,2024-06-04,Snacks,40.65
3041,1012,2024-04-10,Games,41.83
3042,1012,2024-04-10,Merchandise,92.51
3043,1012,2024-04-10,Food & Beverage,137.38
3044,1012,2024-04-10,Merchandise,145.92
3045,1013,2024-07-11,Photography,133.51
3046,1013,2024-07-11,Food & Beverage,140.15
3047,1013,2024-07-11,Snacks,15.53
3048,1013,2024-07-11,Games,65.51
3049,1013,2024-01-11,Snacks,31.35
3050,1013,2024-01-11,Snacks,51.84
3051,1013,2024-01-11,Food & Beverage,114.47
3052,1013,2024-01-11,Photography,143.33
3053,1015,2024-06-16,Games,63.85
3054,1015,2024-06-16,Games,31.78
3055,1015,2024-06-16,Food & Beverage,83.06
3056,1017,2024-08-12,Games,71.96
3057,1017,2024-08-12,Merchandise,112.81
3058,1018,2024-08-09,Snacks,42.91
3059,1018,2024-08-09,Games,50.84
3060,1018,2024-08-09,Merchandise,52.7
3061,1020,2024-07-22,Snacks,50.36
3062,1020,2024-07-22,Snacks,26.53
3063,1021,2024-04-07,Games,64.65
3064,1022,2024-09-13,Photography,199.26
3065,1022,2024-09-13,Snacks,39.79
3066,1022,2024-09-13,Merchandise,138.12
3067,1024,2024-11-22,Food & Beverage,74.2
3068,1025,2024-10-25,Merchandise,74.61
3069,1025,2024-10-25,Food & Beverage,142.72
3070,1025,2024-10-25,Food & Beverage,105.03
3071,1025,2024-10-25,Merchandise,36.49
3072,1026,2024-06-27,Food & Beverage,168.57
3073,1026,2024-06-27,Food & Beverage,66.94
3074,1027,2024-07-14,Food & Beverage,78.46
3075,1027,2024-07-14,Photography,178.7
3076,1027,2024-07-14,Food & Beverage,81.97
3077,1027,2024-07-14,Snacks,32.98
3078,1028,2024-04-26,Photography,83.52
3079,1029,2024-03-30,Snacks,27.38
3080,1031,2024-10-23,Merchandise,55.02
3081,1031,2024-10-23,Food & Beverage,65.27
3082,1033,2024-03-24,Food & Beverage,122.6
3083,1033,2024-03-24,Snacks,15.2
3084,1033,2024-03-24,Food & Beverage,76.06
3085,1034,2024-06-25,Merchandise,120.97
3086,1034,2024-06-25,Merchandise,76.14
3087,1034,2024-10-24,Food & Beverage,163.68
3088,1035,2024-01-28,Snacks,17.52
3089,1035,2024-01-28,Photography,115.68
3090,1035,2024-03-29,Food & Beverage,117.11
3091,1035,2024-03-29,Games,69.47
3092,1035,2024-03-29,Merchandise,136.2
3093,1035,2024-03-29,Games,51.53
3094,1035,2024-06-19,Snacks,29.83
3095,1035,2024-06-19,Merchandise,58.4
3096,1035,2024-06-19,Snacks,31.86
3097,1035,2024-02-07,Games,71.57
3098,1035,2024-02-07,Food & Beverage,116.98
3099,1036,2024-02-13,Snacks,41.41
3100,1036,2024-02-13,Snacks,19.43
3101,1036,2024-02-13,Food & Beverage,163.21
3102,1036,2024-10-12,Merchandise,122.88
3103,1036,2024-10-12,Snacks,44.76
3104,1036,2024-10-12,Food & Beverage,167.68
3105,1036,2024-10-12,Games,34.62
3106,1038,2024-07-18,Merchandise,132.29
3107,1038,2024-07-18,Merchandise,131.4
3108,1038,2024-07-18,Food & Beverage,115.24
3109,1038,2024-07-18,Food & Beverage,137.78
3110,1039,2024-10-29,Games,36.9
3111,1039,2024-10-29,Merchandise,136.17
3112,1039,2024-10-29,Snacks,48.17
3113,1040,2024-09-09,Merchandise,64.57
3114,1040,2024-09-09,Merchandise,34.93
3115,1042,2024-04-12,Games,41.67
3116,1042,2024-04-12,Snacks,42.06
3117,1042,2024-04-12,Snacks,57.04
3118,1042,2024-04-12,Food & Beverage,93.24
3119,1043,2024-12-21,Games,62.71
3120,1044,2024-11-23,Games,39.78
3121,1044,2024-11-23,Games,70.18
3122,1044,2024-11-23,Merchandise,142.05
3123,1044,2024-11-23,Food & Beverage,124.68
3124,1044,2024-09-28,Snacks,20.29
3125,1044,2024-09-28,Food & Beverage,108.16
3126,1044,2024-09-28,Snacks,48.15
3127,1045,2024-06-12,Merchandise,32.04
3128,1045,2024-06-12,Food & Beverage,87.05
3129,1045,2024-06-12,Food & Beverage,97.34
3130,1045,2024-06-12,Photography,145.69
3131,1046,2024-12-11,Games,35.91
3132,1046,2024-12-11,Merchandise,137.11
3133,1046,2024-12-11,Games,27.95
3134,1046,2024-12-11,Merchandise,70.91
3135,1047,2024-12-26,Food & Beverage,92.89
3136,1047,2024-12-26,Games,40.61
3137,1047,2024-12-26,Food & Beverage,71.94
3138,1047,2024-12-26,Games,46.81
3139,1048,2024-03-25,Food & Beverage,66.11
3140,1049,2024-01-22,Games,60.77
3141,1049,2024-01-22,Food & Beverage,75.65
3142,1050,2024-09-01,Snacks,57.68
3143,1050,2024-09-01,Merchandise,54.23
3144,1050,2024-09-01,Food & Beverage,167.83
3145,1051,2024-08-02,Food & Beverage,86.78
3146,1051,2024-10-09,Snacks,30.89
3147,1051,2024-10-09,Merchandise,70.35
3148,1053,2024-06-17,Food & Beverage,153.26
3149,1053,2024-06-17,Snacks,36.76
3150,1054,2024-01-18,Games,66.94
3151,1054,2024-12-20,Food & Beverage,154.46
3152,1054,2024-06-30,Games,65.55
3153,1055,2024-07-19,Food & Beverage,61.54
3154,1055,2024-07-19,Snacks,45.62
3155,1056,2024-04-25,Food & Beverage,143.37
3156,1056,2024-04-25,Games,33.89
3157,1056,2024-07-16,Snacks,50.03
3158,1056,2024-07-16,Merchandise,145.86
3159,1056,2024-07-16,Snacks,45.07
3160,1056,2024-07-16,Games,51.41
3161,1059,2024-01-10,Photography,84.01
3162,1060,2024-12-16,Games,25.57
3163,1060,2024-12-16,Food & Beverage,76.6
3164,1061,2024-06-13,Food & Beverage,54.29
3165,1061,2024-06-13,Merchandise,112.32
3166,1061,2024-06-13,Merchandise,114.91
3167,1061,2024-06-13,Photography,132.01
3168,1062,2024-09-05,Food & Beverage,50.32
3169,1063,2024-04-19,Games,58.18
3170,1063,2024-04-19,Games,76.62
3171,1064,2024-10-06,Games,37.0
3172,1064,2024-10-06,Photography,142.37
3173,1066,2024-01-13,Games,34.91
3174,1066,2024-01-13,Snacks,54.63
3175,1066,2024-01-13,Snacks,48.26
3176,1066,2024-01-13,Games,37.94
3177,1067,2024-08-22,Food & Beverage,146.57
3178,1067,2024-08-22,Games,37.53
3179,1068,2024-07-26,Food & Beverage,160.27
